id,name,degree,clustering
YPL111W,CAR1,3,0.0
YPR062W,FCY1,1,0.0
YLR319C,BUD6,2,0.0
YNL311C,YNL311C,2,0.0
YKL001C,MET14,1,0.0
YOL016C,CMK2,1,0.0
YBR109C,CMD1,3,0.0
YJL036W,SNX4,1,0.0
YDL113C,YDL113C,1,0.0
YEL041W,YEL041W,1,0.0
YHR115C,YHR115C,2,0.0
YNL167C,SKO1,2,0.0
YDL063C,YDL063C,1,0.0
YPL131W,RPL5,1,0.0
YGL161C,YGL161C,2,1.0
YDR100W,YDR100W,2,1.0
YMR183C,SSO2,1,0.0
YGR009C,SEC9,5,0.0
YMR291W,YMR291W,1,0.0
YGR048W,UFD1,2,0.0
YPL222W,YPL222W,1,0.0
YAL040C,CLN3,2,1.0
YFR034C,PHO4,2,0.0
YFR037C,RSC8,1,0.0
YOR290C,SNF2,1,0.0
YER133W,GLC7,6,0.0
YOR178C,GAC1,3,0.0
YOR315W,YOR315W,1,0.0
YMR311C,GLC8,1,0.0
YBR050C,REG2,1,0.0
YIL162W,SUC2,2,0.0
YFL038C,YPT1,1,0.0
YOR355W,GDS1,2,0.0
YML074C,NPI46,1,0.0
YJL190C,RPS22A,1,0.0
YMR058W,FET3,1,0.0
YER145C,FTR1,1,0.0
YML123C,PHO84,1,0.0
YPL031C,PHO85,2,0.0
YHR071W,PCL5,1,0.0
YML051W,GAL80,3,0.333
YDR009W,GAL3,2,0.0
YLL019C,KNS1,1,0.0
YIL113W,YIL113W,2,0.0
YML024W,RPS17A,1,0.0
YOR039W,CKB2,1,0.0
YER111C,SWI4,2,0.0
YDR146C,SWI5,2,0.0
YKL211C,TRP3,1,0.0
YER090W,TRP2,1,0.0
YDR354W,TRP4,1,0.0
YNL113W,RPC19,1,0.0
YPR110C,RPC40,1,0.0
YER103W,SSA4,2,0.0
YBR190W,YBR190W,1,0.0
YOL059W,GPD2,1,0.0
YER102W,RPS8B,2,0.0
YOR362C,PRE10,1,0.0
YMR044W,YMR044W,1,0.0
YOL149W,DCP1,2,0.0
YLR191W,PEX13,2,1.0
YGL153W,PEX14,4,0.5
YER110C,KAP123,2,0.0
YML007W,YAP1,1,0.0
YBR135W,CKS1,2,0.0
YNL214W,PEX17,2,1.0
YPR167C,MET16,1,0.0
YOR089C,VPS21,1,0.0
YNL117W,MLS1,1,0.0
YLR175W,CBF5,1,0.0
YDR167W,TAF25,2,0.0
YLR432W,YLR432W,2,0.0
YDR244W,PEX5,5,0.3
YDR142C,PEX7,3,0.333
YDL078C,MDH3,1,0.0
YIL160C,POT1,1,0.0
YAR007C,RFA1,2,0.0
YKL161C,YKL161C,1,0.0
YLR075W,RPL10,2,0.0
YPR102C,RPL11A,2,0.0
YPL240C,HSP82,3,0.0
YHR198C,YHR198C,1,0.0
YLR284C,ECI1,1,0.0
YER052C,HOM3,1,0.0
YNL135C,FPR1,2,0.0
YPR124W,CTR1,1,0.0
YHR053C,CUP1A,2,0.0
YHR055C,CUP1B,2,0.0
YGL134W,PCL10,2,0.0
YLR258W,GSY2,3,0.0
YJL194W,CDC6,2,0.0
YBL026W,LSM2,2,0.0
YBL050W,SEC17,2,0.0
YHR084W,STE12,4,0.5
YBR274W,CHK1,2,0.0
YMR255W,GFD1,2,0.0
YLR452C,SST2,1,0.0
YHR005C,GPA1,2,0.0
YDR299W,BFR2,1,0.0
YIL074C,SER33,2,0.0
YOR120W,GCY1,1,0.0
YPR041W,TIF5,2,1.0
YIL045W,PIG2,2,0.0
YDL215C,GDH2,3,0.0
YER079W,YER079W,2,0.0
YDL030W,PRP9,3,0.0
YMR005W,MPT1,1,0.0
YER124C,YER124C,1,0.0
YGR085C,RPL11B,2,0.0
YDR395W,SXM1,8,0.0
YGR088W,CTT1,1,0.0
YER081W,SER3,1,0.0
YPR113W,PIS1,1,0.0
YIL070C,MAM33,1,0.0
YLR153C,ACS2,1,0.0
YGR046W,YGR046W,1,0.0
YNL164C,YNL164C,1,0.0
YDR070C,YDR070C,1,0.0
YOR212W,STE4,2,0.0
YNL036W,NCE103,1,0.0
YML114C,YML114C,1,0.0
YMR117C,SPC24,3,0.0
YPR010C,RPA135,1,0.0
YOR215C,YOR215C,1,0.0
YDL088C,ASM4,2,0.0
YLR197W,SIK1,2,1.0
YGL202W,ARO8,1,0.0
YGR074W,SMD1,2,0.0
YBR170C,NPL4,1,0.0
YDL023C,YDL023C,1,0.0
YGR136W,YGR136W,1,0.0
YFR014C,CMK1,1,0.0
YDL075W,RPL31A,1,0.0
YNL069C,RPL16B,1,0.0
YER056CA,YER056CA,1,0.0
YIL052C,RPL34B,1,0.0
YLR345W,YLR345W,1,0.0
YBL079W,NUP170,1,0.0
YBR045C,GIP1,3,0.0
YER054C,GIP2,2,0.0
YPR145W,ASN1,1,0.0
YBR043C,YBR043C,1,0.0
YDR277C,MTH1,2,0.0
YDL194W,SNF3,1,0.0
